Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success,,
19,6,2,0.78,0.02,1,5,8,4,2,0,1.21,0.02,0.44,1.02,0.02,0.24,0.25,0.35,-0.23,0,5,0,0,1,14.26,46.7,86.7,1
18,6,4,0.98,0.01,1,7,8,7,2,0,1.92,0.03,0.39,0.61,0.01,0.26,0.17,0.13,-0.15,2,7,0,0,1,15.18,61.83,81.63,1
18,7,4,0.83,0.04,0,2,2,4,3,0,0.32,0.02,0.64,0.63,0.05,0.26,0.12,0.14,-0.29,90,172,6,80,0.6,19.2,208.32,50.94,0
8,6,2,1.17,0.04,0,20,6,7,3,1,1.63,0.04,0.6,1.11,0.02,0.21,0.2,0.28,-0.07,80,84,2,0,0.8,11.78,61.18,87.23,0
1,7,1,1.51,0.04,1,16,4,7,4,1,0.96,0.04,0.11,0.66,0.05,0.14,0.27,0.18,-0.28,9,12,4,0,0.6,27.73,324.02,9.54,0
10,7,4,1.71,0.03,1,16,5,7,1,1,1.59,0.04,0.91,1.27,0.05,0.16,0.27,0.13,-0.01,81,164,4,80,0.8,12.73,118.93,72.99,0
8,6,3,0.79,0.01,0,12,9,7,3,0,0.3,0.01,0.43,1.5,0.04,0.18,0.29,0.17,-0.14,1,6,0,0,1,17.1,81.38,74.83,1
6,6,4,0.86,0.01,1,13,10,4,3,1,1.31,0.03,0.97,0.83,0.04,0.27,0.18,0.21,-0.06,81,85,2,0,0.8,12.93,66.9,85.66,0
11,5,4,0.38,0.02,1,16,3,5,4,1,1.54,0.04,0.22,0.91,0.02,0.23,0.24,0.26,-0.03,0,5,0,0,1,14.45,49.29,85.91,1
20,5,1,0.74,0.02,1,1,8,7,2,1,1.36,0.04,0.74,0.89,0.03,0.2,0.24,0.34,-0.06,1,6,0,0,1,14.35,52.46,84.79,1
4,5,3,1.05,0.04,0,10,5,7,3,1,0.31,0.03,0.98,1.45,0.04,0.19,0.28,0.25,-0.27,0,5,0,0,1,14.35,57.92,82.94,1
8,6,4,1.84,0.04,1,12,5,7,4,0,1.52,0.01,0.62,0.71,0.02,0.2,0.26,0.37,-0.29,1,6,0,0,1,16.26,71.78,78.17,1
7,4,3,1.9,0.02,1,15,2,7,2,1,1.91,0.05,0.3,0.73,0.03,0.11,0.19,0.4,-0.01,80,84,2,0,0.8,11.52,58.72,88.74,0
1,7,4,1,0.03,0,2,5,5,2,1,1.38,0.04,0.38,1.05,0.05,0.14,0.17,0.32,-0.01,86,88,8,0,0.4,7.95,226.44,52.52,0
14,5,3,0.58,0.02,1,4,3,7,2,0,0.63,0.01,0.71,0.57,0.05,0.1,0.23,0.33,-0.14,86,88,8,0,0.2,29.8,319.69,52.52,0
11,7,2,0.82,0.04,0,14,3,6,4,0,1.13,0.03,0.16,1.15,0.01,0.19,0.15,0.25,-0.11,0,5,0,0,1,14.53,46.01,87,1
11,4,1,1.33,0.03,0,15,1,5,2,1,1.94,0.03,0.36,1.14,0.01,0.23,0.22,0.33,-0.18,0,5,0,0,1,14.28,44.37,87.75,1
11,7,4,0.92,0.01,1,20,6,4,2,1,1.25,0.04,0.84,1.13,0.04,0.24,0.21,0.14,-0.23,82,86,2,0,0.8,12.65,70.58,84.79,0
9,5,2,1.62,0.03,0,12,7,5,4,1,0.78,0.05,0.29,0.79,0.03,0.25,0.28,0.31,-0.16,79,83,2,0,0.8,14.27,84.01,79.34,0
11,6,2,0.21,0.02,0,9,5,5,1,0,1.62,0.04,0.87,0.7,0.02,0.25,0.15,0.25,-0.27,89,93,2,0,0.8,16.9,113.18,69.88,0
6,6,2,0.91,0.01,1,16,8,6,4,1,1.42,0.03,0.42,0.82,0.04,0.13,0.29,0.17,-0.05,89,93,2,0,0.8,12.57,72.21,84.08,0
19,6,1,1.06,0.05,1,17,7,6,1,1,1.27,0.03,0.67,1.2,0.05,0.11,0.18,0.34,-0.2,162,243,6,79,0.6,23.5,197.99,51.73,0
14,5,2,0.87,0.03,0,19,9,7,4,1,0.87,0.01,0.33,1.13,0.04,0.3,0.21,0.14,-0.06,82,167,4,82,0.8,12.17,85.3,84.87,0
18,5,3,1.17,0.05,0,4,5,7,1,1,0.94,0.02,0.72,0.52,0.04,0.15,0.13,0.18,-0.08,82,167,4,82,0.4,24.09,423.73,84.87,0
6,5,1,1.24,0.02,1,2,2,7,3,0,0.83,0.03,0.34,0.76,0.03,0.11,0.13,0.16,-0.25,80,84,2,0,0.8,12.51,84.6,79.34,0
8,4,4,1.81,0.02,0,16,8,6,3,0,1.67,0.01,0.44,1.45,0.03,0.13,0.19,0.3,-0.03,0,5,0,0,1,14.33,44.71,87.27,1
18,7,4,1.13,0.04,1,3,2,6,2,0,1.83,0.03,0.93,0.66,0.02,0.11,0.28,0.18,-0.29,9,93,2,80,1,14.76,92.37,77.77,0
6,7,4,1.24,0.03,1,1,8,6,1,0,0.39,0.03,0.5,1.43,0.04,0.24,0.29,0.11,-0.09,82,165,4,80,0.8,12.18,102.18,78.89,0
9,7,2,1.83,0.02,0,1,7,7,2,0,0.68,0.02,0.16,1.33,0.04,0.11,0.14,0.28,-0.21,79,83,2,0,0.8,13.27,72.39,0,0
18,6,2,1.41,0.05,1,2,2,7,4,0,1.9,0.04,0.24,0.53,0.01,0.27,0.11,0.39,-0.17,82,165,4,80,0.8,12.66,78.71,86.98,0
14,6,4,0.81,0.05,0,2,8,7,4,1,1.74,0.04,0.22,1.05,0.04,0.13,0.11,0.22,-0.03,160,163,4,0,0.6,11.74,129.36,69.88,0
2,4,1,0.69,0.04,0,11,8,4,4,0,0.94,0.01,0.64,0.82,0.04,0.18,0.11,0.19,-0.18,2,7,0,0,1,23.13,129.11,58.47,1
4,7,4,1.56,0.03,1,8,2,6,4,0,1.02,0.02,0.62,0.57,0.02,0.16,0.13,0.11,-0.19,79,83,2,0,0.8,13.57,78.56,81.71,0
2,7,4,1.19,0.04,0,2,8,5,3,1,1.84,0.03,0.26,1.47,0.01,0.17,0.24,0.19,-0.15,5,10,0,0,1,15.21,54.79,84.33,1
4,6,1,0.78,0.02,1,10,9,7,1,0,0.88,0.03,0.18,1.46,0.03,0.26,0.22,0.13,-0.01,0,5,0,0,1,14.91,155.76,48.94,1
6,7,2,0.7,0.04,0,4,6,4,4,0,1.13,0.02,0.85,0.84,0.05,0.29,0.16,0.31,-0.25,6,9,4,0,0.6,19.75,169.5,61.96,0
16,6,1,0.2,0.05,0,17,9,7,3,1,0.71,0.04,0.28,0.87,0.01,0.18,0.2,0.2,-0.16,6,11,0,0,1,15.91,62.8,81.56,1
10,6,4,1,0.01,0,20,1,7,4,0,1.73,0.02,0.14,0.54,0.05,0.27,0.17,0.38,-0.13,1,6,0,0,1,19.45,100.33,68.26,1
6,5,4,0.47,0.03,0,3,1,6,1,0,1.52,0.05,0.35,0.84,0.03,0.26,0.14,0.34,-0.2,82,165,4,80,0.8,15.26,119.56,72.99,0
5,7,2,1.38,0.01,1,8,6,7,1,0,1.56,0.03,0.1,1.11,0.04,0.16,0.14,0.12,-0.23,0,5,0,0,1,21.08,114.68,63.55,1
12,7,4,0.88,0.01,1,13,10,5,1,1,1.36,0.04,0.3,0.95,0.03,0.2,0.22,0.38,-0.16,83,87,2,0,0.8,12.87,80.53,80.92,0
3,7,2,1.31,0.03,0,2,10,5,1,1,0.72,0.03,0.65,1.46,0.01,0.24,0.24,0.12,-0.21,104,108,2,0,0.8,15.92,92.89,77.88,0
5,5,1,0.69,0.02,0,17,1,6,1,0,1.66,0.04,0.47,1.13,0.03,0.26,0.26,0.29,-0.03,80,84,2,0,0.8,12.4,67.66,84.99,0
19,7,1,0.7,0.04,0,14,6,5,3,0,1.26,0.01,0.14,1.46,0.04,0.21,0.11,0.15,-0.12,7,9,6,0,0.6,29.2,309.56,23.29,0
10,6,4,1.35,0.02,1,20,9,4,1,1,1.5,0.02,0.63,1.11,0.02,0.19,0.16,0.34,-0.18,2,7,0,0,1,16.54,66.58,79.98,1
11,7,3,1.28,0.02,1,17,1,4,1,0,0.88,0.01,0.16,1.31,0.05,0.26,0.24,0.18,-0.29,0,5,0,0,1,17.2,89.07,72.17,1
15,6,2,1.24,0.01,0,15,3,4,3,1,0.59,0.04,0.79,1.34,0.02,0.3,0.19,0.21,-0.17,83,87,2,0,0.8,12.54,72.32,83.63,0
18,6,1,1.3,0.02,1,19,5,4,3,0,1.43,0.03,0.47,0.53,0.04,0.22,0.16,0.4,-0.01,158,161,4,0,0.6,9.67,76.3,87.98,0
4,4,3,1.95,0.03,1,11,5,6,3,1,1.16,0.01,0.74,1.45,0.01,0.16,0.13,0.39,-0.17,0,5,0,0,1,14.22,43.56,87.73,1
1,5,3,0.3,0.01,1,10,6,4,4,0,0.58,0.03,0.81,0.61,0.02,0.22,0.11,0.21,-0.18,1,6,0,0,1,15.05,58.71,82.64,1
18,4,1,1.66,0.02,0,11,6,5,3,0,1.96,0.02,0.15,0.96,0.02,0.27,0.2,0.27,-0.2,86,90,2,0,0.8,13.24,67.41,85.66,0
11,5,4,0.91,0.04,1,20,3,6,3,1,1.17,0.04,0.1,0.57,0.03,0.24,0.19,0.37,-0.2,0,5,0,0,1,14.97,57.91,82.8,1
14,4,4,1.45,0.03,1,8,1,4,4,0,0.7,0.03,0.9,0.59,0.03,0.17,0.19,0.33,-0.15,0,5,0,0,1,15.4,58.58,82.77,1
9,7,3,0.4,0.04,1,5,4,6,1,1,0.56,0.04,0.61,0.91,0.04,0.27,0.1,0.3,-0.01,82,86,2,0,0.8,12.92,73.59,83.29,0
5,6,1,0.89,0.03,1,1,9,7,3,0,1.71,0.05,0.3,0.78,0.03,0.16,0.28,0.39,-0.12,159,162,4,0,0.6,9.4,73.43,88.81,0
14,6,2,0.79,0.04,0,12,5,5,2,1,1.44,0.03,0.63,0.77,0.04,0.23,0.21,0.24,-0.19,4,9,0,0,1,36.19,217.58,28.31,1
4,5,1,1.69,0.03,0,6,4,4,3,0,1.65,0.04,0.65,1.1,0.04,0.13,0.13,0.19,-0.29,4,9,0,0,1,14.73,65.07,80.73,1
10,6,1,0.47,0.04,0,5,8,4,3,0,1.54,0.02,0.97,0.68,0.05,0.3,0.21,0.27,-0.08,85,88,6,1,0.6,13.72,194.7,54.88,0
19,5,3,1.49,0.03,1,5,9,6,3,1,1.15,0.02,0.13,0.86,0.04,0.13,0.29,0.24,-0.17,239,241,6,0,0.4,12.67,132.66,0,0
4,6,4,1.61,0.05,0,2,2,4,4,0,0.89,0.02,0.31,0.63,0.03,0.23,0.3,0.24,-0.02,239,241,6,0,0.6,18.9,361.38,0,0
10,6,1,1.52,0.04,1,5,8,5,4,1,0.58,0.02,0.91,1.23,0.02,0.25,0.12,0.23,-0.06,0,84,2,80,1,14.44,64.6,86.18,0
10,6,4,1.61,0.03,1,1,10,5,1,1,1.16,0.03,0.74,1.45,0.02,0.26,0.22,0.24,-0.13,163,166,4,0,0.6,10.55,72.61,89.6,0
11,4,3,0.62,0.02,0,18,9,5,4,0,1.14,0.04,0.42,0.85,0.02,0.17,0.21,0.2,-0.2,7,12,0,0,1,16.54,73.96,77.95,1
4,5,4,1.86,0.04,0,14,5,7,2,1,0.82,0.04,0.49,0.68,0.04,0.17,0.23,0.12,-0.17,3,5,6,0,0.4,21.84,195.6,60.45,0
19,5,4,1.25,0.03,1,4,9,6,2,1,1.67,0.04,0.81,0.74,0.04,0.14,0.12,0.29,-0.26,3,5,6,0,0.6,56.76,625.9,60.45,0
9,5,3,0.34,0.04,1,6,6,5,4,1,1.81,0.04,0.65,1.37,0.03,0.17,0.22,0.24,-0.1,79,83,2,0,0.8,12.99,70.88,83.84,0
17,5,1,0.66,0.02,0,12,9,6,4,0,1.72,0.02,0.68,0.88,0.03,0.12,0.11,0.35,-0.23,0,5,0,0,1,14.25,50.53,85.55,1
6,5,1,1,0.01,1,16,10,4,3,0,1.81,0.03,0.98,0.58,0.03,0.2,0.27,0.18,-0.24,13,18,0,0,1,17.06,109.22,65.81,1
2,5,1,1.79,0.03,0,17,2,7,4,1,1.88,0.03,0.66,0.58,0.03,0.18,0.18,0.31,-0.15,0,5,0,0,1,29.22,174.73,42.89,1
10,7,1,0.88,0.03,1,5,9,7,2,0,0.42,0.02,0.51,0.63,0.02,0.3,0.3,0.32,-0.02,2,7,0,0,1,14.32,47.66,86.91,1
4,7,4,1.74,0.05,1,4,3,7,1,1,1.63,0.05,0.98,0.76,0.03,0.13,0.21,0.36,-0.16,2,7,0,0,0.4,145.89,1240.42,86.91,1
14,4,3,0.29,0.02,1,19,7,7,3,1,0.65,0.04,0.45,1.4,0.03,0.13,0.15,0.25,-0.2,85,89,2,0,0.8,15.92,105.88,72.95,0
9,5,3,0.34,0.03,1,19,5,4,1,0,1.56,0.04,0.54,1.5,0.01,0.22,0.16,0.11,-0.28,1,6,0,0,1,14.51,58.71,82.78,1
20,5,1,1.63,0.05,0,9,6,7,1,1,0.42,0.04,0.7,0.63,0.04,0.23,0.18,0.38,-0.18,83,166,4,80,0.8,15.26,114.88,74.61,0
4,5,3,0.79,0.05,0,18,6,7,4,0,1.87,0.04,0.14,0.99,0.02,0.3,0.24,0.36,-0.17,80,84,2,0,0.8,12.4,69.01,84.87,0
10,6,3,1.29,0.04,0,12,6,6,4,0,0.89,0.04,0.43,1.22,0.02,0.16,0.16,0.22,-0.29,0,5,0,0,1,18.55,97.48,69.4,1
7,7,2,0.64,0.03,0,7,8,5,4,1,1.25,0.05,0.97,1.35,0.03,0.22,0.21,0.27,-0.2,158,161,4,0,0.6,12.88,95.29,80.99,0
19,4,2,1.92,0.01,1,19,8,4,2,0,0.73,0.04,0.5,1.03,0.03,0.14,0.2,0.32,-0.12,8,13,0,0,1,22.81,131.2,58.18,1
19,6,4,1.08,0.02,0,5,7,5,4,1,0.95,0.04,0.83,1.36,0.01,0.16,0.12,0.39,-0.03,1,6,0,0,1,14.23,42.79,88.13,1
13,5,4,1.36,0.04,0,8,1,7,3,0,1.52,0.03,0.99,1.09,0.02,0.17,0.25,0.29,-0.13,3,6,4,0,0.8,15.02,108,82.55,0
1,7,2,1.05,0.02,0,12,8,7,4,1,1.3,0.01,0.82,0.74,0.02,0.11,0.28,0.21,-0.24,96,98,6,0,0.6,15.03,155.64,72.99,0
1,5,3,1.05,0.05,0,1,6,5,3,1,1.21,0.03,0.41,0.54,0.02,0.18,0.22,0.21,-0.05,96,98,6,0,0.2,12.1,336.89,72.99,0
1,5,3,1.05,0.05,0,1,6,5,3,1,1.21,0.03,0.41,0.54,0.02,0.18,0.22,0.21,-0.05,320,348,10,28,0.2,12.1,336.89,15.97,0
